job_id,skill,extracted_at
sample-00032,TensorFlow,2026-03-26 23:00:00
sample-00033,Python,2026-05-20 19:00:00
sample-00033,Spark,2026-05-20 10:00:00
sample-00034,Python,2026-06-30 22:00:00
sample-00034,TensorFlow,2026-06-30 04:00:00
sample-00034,Airflow,2026-06-30 21:00:00
sample-00036,PyTorch,2026-06-27 17:00:00
sample-00036,Spark,2026-06-27 07:00:00
sample-00036,TensorFlow,2026-06-27 10:00:00
sample-00037,Python,2026-06-23 22:00:00
sample-00037,SQL,2026-06-23 13:00:00
sample-00037,NLP,2026-06-22 14:00:00
sample-00037,TensorFlow,2026-06-22 06:00:00
sample-00037,REST API,2026-06-23 15:00:00
sample-00038,LangChain,2026-04-17 06:00:00
sample-00038,Docker,2026-04-17 20:00:00
sample-00038,Python,2026-04-17 14:00:00
sample-00038,Machine Learning,2026-04-18 11:00:00
sample-00039,Python,2026-05-31 17:00:00
sample-00039,Machine Learning,2026-05-31 12:00:00
sample-00039,Docker,2026-05-31 07:00:00
sample-00040,Python,2026-04-04 19:00:00
sample-00040,AWS,2026-04-04 05:00:00
sample-00042,Kubernetes,2026-06-07 21:00:00
sample-00042,Airflow,2026-06-08 16:00:00
sample-00042,Python,2026-06-08 11:00:00
sample-00042,Machine Learning,2026-06-08 10:00:00
sample-00042,LangChain,2026-06-08 19:00:00
sample-00044,SQL,2026-03-25 18:00:00
sample-00044,TensorFlow,2026-03-25 03:00:00
sample-00045,AWS,2026-07-10 05:00:00
sample-00045,SQL,2026-07-10 07:00:00
sample-00045,REST API,2026-07-09 07:00:00
sample-00045,LangChain,2026-07-10 04:00:00
sample-00047,Kubernetes,2026-07-01 21:00:00
sample-00047,PyTorch,2026-06-30 02:00:00
sample-00047,AWS,2026-07-01 10:00:00
sample-00048,PyTorch,2026-06-05 07:00:00
sample-00048,Python,2026-06-04 21:00:00
sample-00049,Machine Learning,2026-06-16 02:00:00
sample-00049,SQL,2026-06-17 02:00:00
sample-00049,Git,2026-06-17 06:00:00
sample-00049,Python,2026-06-17 03:00:00
sample-00050,NLP,2026-06-14 05:00:00
sample-00050,AWS,2026-06-14 05:00:00
sample-00050,Kubernetes,2026-06-14 15:00:00
sample-00051,PyTorch,2026-04-09 06:00:00
sample-00051,LangChain,2026-04-08 19:00:00
sample-00052,Machine Learning,2026-04-28 04:00:00
sample-00052,Python,2026-04-28 05:00:00
sample-00054,SQL,2026-05-14 12:00:00
sample-00054,Kubernetes,2026-05-14 01:00:00
sample-00056,AWS,2026-05-21 00:00:00
sample-00056,SQL,2026-05-21 03:00:00
sample-00056,Python,2026-05-21 05:00:00
sample-00057,LangChain,2026-04-03 01:00:00
sample-00057,Airflow,2026-04-04 20:00:00
sample-00059,Airflow,2026-06-05 15:00:00
sample-00060,AWS,2026-07-03 18:00:00
sample-00060,Python,2026-07-03 07:00:00
sample-00060,LangChain,2026-07-03 11:00:00
sample-00061,SQL,2026-06-12 03:00:00
sample-00061,Python,2026-06-13 15:00:00
sample-00061,Machine Learning,2026-06-12 05:00:00
sample-00061,Docker,2026-06-13 01:00:00
sample-00061,Kubernetes,2026-06-13 17:00:00
sample-00062,Kubernetes,2026-04-29 04:00:00
sample-00062,LangChain,2026-04-28 17:00:00
sample-00062,Machine Learning,2026-04-28 10:00:00
sample-00063,Docker,2026-07-10 13:00:00
sample-00063,Python,2026-07-10 16:00:00
sample-00064,Python,2026-05-03 09:00:00
sample-00064,Machine Learning,2026-05-03 13:00:00
sample-00064,Spark,2026-05-04 19:00:00
sample-00065,AWS,2026-04-23 12:00:00
sample-00065,Kubernetes,2026-04-24 15:00:00
sample-00066,Python,2026-07-02 05:00:00
sample-00066,SQL,2026-07-01 02:00:00
sample-00066,LangChain,2026-07-02 19:00:00
sample-00067,Python,2026-04-30 02:00:00
sample-00067,LangChain,2026-04-29 06:00:00
sample-00068,Python,2026-03-26 16:00:00
sample-00068,Machine Learning,2026-03-26 13:00:00
sample-00068,SQL,2026-03-25 09:00:00
sample-00069,Kubernetes,2026-05-10 09:00:00
sample-00071,Python,2026-04-07 10:00:00
sample-00071,TensorFlow,2026-04-08 15:00:00
sample-00072,Machine Learning,2026-05-10 18:00:00
sample-00072,Python,2026-05-10 19:00:00
sample-00072,AWS,2026-05-11 22:00:00
sample-00073,Machine Learning,2026-04-01 13:00:00
sample-00073,Kubernetes,2026-03-31 18:00:00
sample-00073,Python,2026-03-31 23:00:00
sample-00073,AWS,2026-04-01 01:00:00
sample-00074,AWS,2026-06-06 03:00:00
sample-00074,Python,2026-06-06 12:00:00
sample-00074,TensorFlow,2026-06-05 04:00:00
sample-00075,Docker,2026-05-11 09:00:00
sample-00076,TensorFlow,2026-04-25 16:00:00
sample-00076,Spark,2026-04-25 23:00:00
sample-00076,NLP,2026-04-24 16:00:00
sample-00076,Python,2026-04-25 17:00:00
sample-00076,AWS,2026-04-24 14:00:00
sample-00078,dbt,2026-05-23 19:00:00
sample-00078,NLP,2026-05-22 08:00:00
sample-00078,Docker,2026-05-23 16:00:00
sample-00078,PyTorch,2026-05-22 20:00:00
sample-00078,Machine Learning,2026-05-22 19:00:00
sample-00079,Machine Learning,2026-06-04 23:00:00
sample-00079,dbt,2026-06-04 18:00:00
sample-00079,SQL,2026-06-04 04:00:00
sample-00079,Python,2026-06-03 13:00:00
sample-00081,Python,2026-05-08 01:00:00
sample-00081,NLP,2026-05-08 00:00:00
sample-00081,TensorFlow,2026-05-07 05:00:00
sample-00084,SQL,2026-05-29 20:00:00
sample-00084,MLOps,2026-05-30 18:00:00
sample-00085,PyTorch,2026-06-08 06:00:00
sample-00085,SQL,2026-06-08 16:00:00
sample-00086,Docker,2026-03-28 16:00:00
sample-00086,dbt,2026-03-27 11:00:00
sample-00086,PyTorch,2026-03-27 05:00:00
sample-00086,NLP,2026-03-28 22:00:00
sample-00087,Docker,2026-04-22 08:00:00
sample-00088,AWS,2026-06-15 08:00:00
sample-00088,Machine Learning,2026-06-15 13:00:00
sample-00088,Airflow,2026-06-15 19:00:00
sample-00088,Python,2026-06-15 08:00:00
sample-00089,PyTorch,2026-06-24 00:00:00
sample-00089,Machine Learning,2026-06-23 16:00:00
sample-00090,PyTorch,2026-05-07 05:00:00
sample-00091,LangChain,2026-06-19 10:00:00
sample-00091,SQL,2026-06-20 16:00:00
sample-00092,Git,2026-06-24 15:00:00
sample-00092,PyTorch,2026-06-24 14:00:00
sample-00092,TensorFlow,2026-06-24 07:00:00
sample-00092,SQL,2026-06-25 11:00:00
sample-00092,REST API,2026-06-24 13:00:00
sample-00093,Spark,2026-05-02 03:00:00
sample-00094,Spark,2026-07-01 17:00:00
sample-00094,TensorFlow,2026-06-30 19:00:00
sample-00094,SQL,2026-06-30 13:00:00
sample-00095,Kubernetes,2026-04-19 16:00:00
sample-00095,Python,2026-04-19 23:00:00
sample-00095,REST API,2026-04-19 09:00:00
sample-00095,Docker,2026-04-20 15:00:00
sample-00097,PyTorch,2026-06-05 15:00:00
sample-00097,Machine Learning,2026-06-06 23:00:00
sample-00097,Python,2026-06-05 04:00:00
sample-00097,SQL,2026-06-05 21:00:00
sample-00097,TensorFlow,2026-06-06 00:00:00
sample-00098,dbt,2026-05-30 04:00:00
sample-00098,Docker,2026-05-31 10:00:00
sample-00098,LangChain,2026-05-30 08:00:00
sample-00098,MLOps,2026-05-30 12:00:00
sample-00098,Spark,2026-05-31 09:00:00
sample-00099,Python,2026-04-02 08:00:00
sample-00099,REST API,2026-04-01 11:00:00
sample-00103,PyTorch,2026-03-16 01:00:00
sample-00103,Kubernetes,2026-03-16 20:00:00
sample-00103,TensorFlow,2026-03-17 07:00:00
sample-00105,Python,2026-06-18 02:00:00
sample-00105,AWS,2026-06-18 11:00:00
sample-00105,Docker,2026-06-18 10:00:00
sample-00105,LangChain,2026-06-17 19:00:00
sample-00106,Machine Learning,2026-06-17 17:00:00
sample-00106,Python,2026-06-17 06:00:00
sample-00106,Kubernetes,2026-06-16 18:00:00
sample-00106,REST API,2026-06-16 19:00:00
sample-00106,SQL,2026-06-17 21:00:00
sample-00107,Python,2026-06-03 01:00:00
sample-00107,MLOps,2026-06-03 14:00:00
sample-00107,Git,2026-06-04 11:00:00
sample-00107,Machine Learning,2026-06-03 23:00:00
sample-00107,Spark,2026-06-03 05:00:00
sample-00108,SQL,2026-05-12 18:00:00
sample-00108,TensorFlow,2026-05-11 21:00:00
sample-00108,Kubernetes,2026-05-11 10:00:00
sample-00109,MLOps,2026-06-07 03:00:00
sample-00109,Python,2026-06-08 21:00:00
sample-00109,PyTorch,2026-06-08 14:00:00
sample-00109,Machine Learning,2026-06-07 20:00:00
sample-00110,Docker,2026-04-17 16:00:00
sample-00110,NLP,2026-04-18 15:00:00
sample-00111,Airflow,2026-06-17 12:00:00
sample-00111,LangChain,2026-06-16 11:00:00
sample-00111,Git,2026-06-17 11:00:00
sample-00112,NLP,2026-05-21 14:00:00
sample-00114,Python,2026-05-16 03:00:00
sample-00114,SQL,2026-05-15 15:00:00
sample-00114,Machine Learning,2026-05-16 05:00:00
sample-00114,AWS,2026-05-15 19:00:00
sample-00114,PyTorch,2026-05-16 04:00:00
sample-00116,AWS,2026-03-20 16:00:00
sample-00116,PyTorch,2026-03-21 18:00:00
sample-00116,Git,2026-03-20 08:00:00
sample-00116,SQL,2026-03-20 19:00:00
sample-00118,NLP,2026-04-15 21:00:00
sample-00118,SQL,2026-04-15 20:00:00
sample-00118,dbt,2026-04-14 20:00:00
sample-00118,Kubernetes,2026-04-15 15:00:00
sample-00118,TensorFlow,2026-04-15 10:00:00
sample-00119,Airflow,2026-03-30 20:00:00
sample-00120,SQL,2026-05-08 00:00:00
sample-00120,Git,2026-05-08 01:00:00
sample-00120,PyTorch,2026-05-07 20:00:00
sample-00121,Python,2026-06-04 21:00:00
sample-00121,SQL,2026-06-03 07:00:00
sample-00121,LangChain,2026-06-04 08:00:00
sample-00122,LangChain,2026-06-01 15:00:00
sample-00122,Python,2026-06-01 11:00:00
sample-00123,Docker,2026-05-12 01:00:00
sample-00123,Python,2026-05-11 15:00:00
sample-00123,NLP,2026-05-12 11:00:00
sample-00123,dbt,2026-05-12 13:00:00
sample-00123,Git,2026-05-11 02:00:00
sample-00124,Python,2026-06-26 03:00:00
sample-00124,SQL,2026-06-25 11:00:00
sample-00124,LangChain,2026-06-26 09:00:00
sample-00124,dbt,2026-06-26 20:00:00
sample-00125,NLP,2026-05-22 11:00:00
sample-00125,SQL,2026-05-23 16:00:00
sample-00125,Docker,2026-05-23 03:00:00
sample-00125,Airflow,2026-05-23 22:00:00
sample-00127,PyTorch,2026-06-15 11:00:00
sample-00127,Kubernetes,2026-06-16 16:00:00
sample-00127,TensorFlow,2026-06-15 04:00:00
sample-00128,SQL,2026-05-24 15:00:00
sample-00128,Kubernetes,2026-05-23 10:00:00
sample-00128,Docker,2026-05-23 10:00:00
sample-00128,Airflow,2026-05-24 22:00:00
sample-00129,Machine Learning,2026-05-30 15:00:00
sample-00129,LangChain,2026-05-30 04:00:00
sample-00129,Airflow,2026-05-30 15:00:00
sample-00129,TensorFlow,2026-05-30 21:00:00
sample-00130,Kubernetes,2026-05-22 13:00:00
sample-00130,LangChain,2026-05-22 17:00:00
sample-00130,Python,2026-05-23 16:00:00
sample-00130,Spark,2026-05-23 12:00:00
sample-00130,AWS,2026-05-22 18:00:00
sample-00131,SQL,2026-05-20 14:00:00
sample-00132,SQL,2026-03-26 01:00:00
sample-00132,Python,2026-03-26 03:00:00
sample-00132,Machine Learning,2026-03-27 07:00:00
sample-00132,TensorFlow,2026-03-27 19:00:00
sample-00132,Airflow,2026-03-27 21:00:00
sample-00135,SQL,2026-04-21 13:00:00
sample-00135,REST API,2026-04-22 17:00:00
sample-00135,TensorFlow,2026-04-21 07:00:00
sample-00135,Docker,2026-04-22 18:00:00
sample-00135,Python,2026-04-22 02:00:00
sample-00136,Airflow,2026-05-26 23:00:00
sample-00139,Kubernetes,2026-05-06 21:00:00
sample-00140,SQL,2026-07-11 23:00:00
sample-00140,Python,2026-07-10 10:00:00
sample-00140,Machine Learning,2026-07-10 19:00:00
sample-00140,TensorFlow,2026-07-11 07:00:00
sample-00141,PyTorch,2026-04-11 01:00:00
sample-00141,AWS,2026-04-10 07:00:00
sample-00143,Python,2026-05-03 06:00:00
sample-00143,Kubernetes,2026-05-04 18:00:00
sample-00143,REST API,2026-05-04 17:00:00
sample-00143,SQL,2026-05-04 20:00:00
sample-00143,Machine Learning,2026-05-04 00:00:00
sample-00144,Python,2026-07-12 23:00:00
sample-00145,Kubernetes,2026-06-26 22:00:00
sample-00145,SQL,2026-06-25 14:00:00
sample-00145,REST API,2026-06-25 07:00:00
sample-00145,Machine Learning,2026-06-25 09:00:00
sample-00146,Spark,2026-03-21 23:00:00
sample-00146,Python,2026-03-21 13:00:00
sample-00146,SQL,2026-03-20 22:00:00
sample-00146,REST API,2026-03-20 18:00:00
sample-00146,LangChain,2026-03-20 03:00:00
sample-00149,Docker,2026-03-22 18:00:00
sample-00149,Machine Learning,2026-03-22 03:00:00
sample-00149,Python,2026-03-22 05:00:00
sample-00149,LangChain,2026-03-23 09:00:00
sample-00149,MLOps,2026-03-22 01:00:00
sample-00150,Python,2026-06-25 23:00:00
sample-00150,TensorFlow,2026-06-26 14:00:00
sample-00150,REST API,2026-06-26 19:00:00
sample-00150,SQL,2026-06-26 14:00:00
sample-00150,Docker,2026-06-25 04:00:00
sample-00152,REST API,2026-07-04 13:00:00
sample-00152,Kubernetes,2026-07-03 03:00:00
sample-00152,Docker,2026-07-03 12:00:00
sample-00152,Python,2026-07-04 19:00:00
sample-00152,PyTorch,2026-07-04 21:00:00
sample-00153,MLOps,2026-04-20 02:00:00
sample-00155,Python,2026-06-02 22:00:00
sample-00155,SQL,2026-06-02 17:00:00
sample-00155,Airflow,2026-06-03 15:00:00
sample-00155,LangChain,2026-06-02 13:00:00
sample-00156,SQL,2026-04-01 02:00:00
sample-00156,Python,2026-04-01 09:00:00
sample-00157,Kubernetes,2026-05-21 12:00:00
sample-00157,Machine Learning,2026-05-21 15:00:00
sample-00158,SQL,2026-05-16 06:00:00
sample-00160,Machine Learning,2026-07-13 14:00:00
sample-00160,Kubernetes,2026-07-13 21:00:00
sample-00160,AWS,2026-07-12 09:00:00
sample-00161,TensorFlow,2026-06-03 06:00:00
sample-00163,SQL,2026-05-04 09:00:00
sample-00163,PyTorch,2026-05-03 17:00:00
sample-00163,Spark,2026-05-03 12:00:00
sample-00163,Python,2026-05-04 19:00:00
sample-00163,TensorFlow,2026-05-04 22:00:00
sample-00164,Python,2026-05-04 05:00:00
sample-00164,SQL,2026-05-05 02:00:00
sample-00164,Machine Learning,2026-05-04 10:00:00
sample-00165,Airflow,2026-06-20 07:00:00
sample-00166,SQL,2026-04-24 12:00:00
sample-00166,Machine Learning,2026-04-23 12:00:00
sample-00166,MLOps,2026-04-23 21:00:00
sample-00166,Python,2026-04-23 23:00:00
sample-00167,Docker,2026-04-04 09:00:00
sample-00167,SQL,2026-04-04 23:00:00
sample-00168,NLP,2026-04-24 22:00:00
sample-00168,AWS,2026-04-24 17:00:00
sample-00169,AWS,2026-03-19 06:00:00
sample-00169,SQL,2026-03-19 19:00:00
sample-00171,SQL,2026-03-27 14:00:00
sample-00172,Spark,2026-06-16 22:00:00
sample-00172,TensorFlow,2026-06-16 13:00:00
sample-00173,Spark,2026-06-10 13:00:00
sample-00173,REST API,2026-06-10 18:00:00
sample-00173,dbt,2026-06-09 22:00:00
sample-00173,PyTorch,2026-06-09 14:00:00
sample-00173,Machine Learning,2026-06-10 12:00:00
sample-00174,Python,2026-06-07 08:00:00
sample-00174,SQL,2026-06-06 05:00:00
sample-00174,TensorFlow,2026-06-07 12:00:00
sample-00174,Machine Learning,2026-06-07 05:00:00
sample-00174,REST API,2026-06-06 06:00:00
sample-00175,TensorFlow,2026-05-10 16:00:00
sample-00175,NLP,2026-05-10 00:00:00
sample-00175,PyTorch,2026-05-09 09:00:00
sample-00176,Python,2026-06-10 05:00:00
sample-00177,Airflow,2026-04-04 02:00:00
sample-00177,PyTorch,2026-04-04 03:00:00
sample-00177,Kubernetes,2026-04-05 02:00:00
sample-00179,Python,2026-05-14 20:00:00
sample-00179,Docker,2026-05-14 21:00:00
sample-00179,PyTorch,2026-05-14 03:00:00
sample-00179,SQL,2026-05-15 18:00:00
sample-00180,SQL,2026-07-06 00:00:00
sample-00181,Spark,2026-04-04 07:00:00
sample-00183,PyTorch,2026-06-06 04:00:00
sample-00183,Docker,2026-06-06 18:00:00
sample-00183,Spark,2026-06-06 02:00:00
sample-00183,NLP,2026-06-07 05:00:00
sample-00185,Machine Learning,2026-05-08 19:00:00
sample-00185,Spark,2026-05-09 18:00:00
sample-00185,PyTorch,2026-05-08 03:00:00
sample-00185,Python,2026-05-09 15:00:00
sample-00185,AWS,2026-05-08 04:00:00
sample-00186,Airflow,2026-04-04 01:00:00
sample-00186,Python,2026-04-05 07:00:00
sample-00186,TensorFlow,2026-04-04 02:00:00
sample-00186,LangChain,2026-04-04 08:00:00
sample-00186,dbt,2026-04-04 16:00:00
sample-00187,Machine Learning,2026-05-01 09:00:00
sample-00189,Machine Learning,2026-04-20 15:00:00
sample-00189,SQL,2026-04-20 02:00:00
sample-00190,TensorFlow,2026-06-05 09:00:00
sample-00191,NLP,2026-05-30 23:00:00
sample-00191,TensorFlow,2026-05-31 16:00:00
sample-00191,Kubernetes,2026-05-30 15:00:00
sample-00191,PyTorch,2026-05-31 02:00:00
sample-00192,Docker,2026-05-28 00:00:00
sample-00192,dbt,2026-05-28 13:00:00
sample-00192,TensorFlow,2026-05-28 09:00:00
sample-00192,PyTorch,2026-05-27 16:00:00
sample-00192,Machine Learning,2026-05-28 05:00:00
sample-00194,Machine Learning,2026-07-08 09:00:00
sample-00194,LangChain,2026-07-09 12:00:00
sample-00194,SQL,2026-07-08 10:00:00
sample-00194,Python,2026-07-09 08:00:00
sample-00194,Docker,2026-07-08 06:00:00
sample-00195,Machine Learning,2026-03-27 02:00:00
sample-00196,MLOps,2026-04-26 03:00:00
sample-00196,dbt,2026-04-26 04:00:00
sample-00196,AWS,2026-04-26 00:00:00
sample-00196,TensorFlow,2026-04-25 21:00:00
sample-00200,Machine Learning,2026-04-29 09:00:00
sample-00200,Python,2026-04-28 11:00:00
sample-00204,AWS,2026-05-09 02:00:00
sample-00204,Kubernetes,2026-05-10 04:00:00
sample-00204,Docker,2026-05-10 09:00:00
sample-00204,Python,2026-05-09 15:00:00
sample-00205,AWS,2026-04-17 21:00:00
sample-00205,SQL,2026-04-17 12:00:00
sample-00205,PyTorch,2026-04-17 11:00:00
sample-00205,Docker,2026-04-17 20:00:00
sample-00206,NLP,2026-06-14 05:00:00
sample-00212,PyTorch,2026-06-17 03:00:00
sample-00213,Kubernetes,2026-05-09 17:00:00
sample-00214,Airflow,2026-06-12 15:00:00
sample-00214,Python,2026-06-11 14:00:00
sample-00215,TensorFlow,2026-04-17 02:00:00
sample-00215,Python,2026-04-18 12:00:00
sample-00215,Spark,2026-04-18 06:00:00
sample-00216,AWS,2026-03-25 11:00:00
sample-00216,Machine Learning,2026-03-25 21:00:00
sample-00217,Python,2026-03-27 07:00:00
sample-00217,SQL,2026-03-27 06:00:00
sample-00217,Machine Learning,2026-03-28 07:00:00
sample-00218,Kubernetes,2026-05-08 10:00:00
sample-00218,SQL,2026-05-09 08:00:00
sample-00218,Python,2026-05-09 02:00:00
sample-00218,Git,2026-05-08 20:00:00
sample-00218,NLP,2026-05-08 15:00:00
sample-00221,SQL,2026-05-09 23:00:00
sample-00221,Docker,2026-05-10 05:00:00
sample-00221,Python,2026-05-10 16:00:00
sample-00221,Machine Learning,2026-05-09 12:00:00
sample-00224,PyTorch,2026-06-09 10:00:00
sample-00224,Python,2026-06-09 09:00:00
sample-00224,LangChain,2026-06-09 01:00:00
sample-00224,Machine Learning,2026-06-10 20:00:00
sample-00224,Docker,2026-06-10 15:00:00
sample-00226,LangChain,2026-06-20 10:00:00
sample-00227,Machine Learning,2026-05-24 01:00:00
sample-00227,TensorFlow,2026-05-23 21:00:00
sample-00228,AWS,2026-05-21 23:00:00
sample-00228,PyTorch,2026-05-21 09:00:00
sample-00231,AWS,2026-06-25 09:00:00
sample-00231,dbt,2026-06-25 04:00:00
sample-00231,Python,2026-06-26 21:00:00
sample-00231,LangChain,2026-06-25 20:00:00
sample-00232,Kubernetes,2026-03-18 16:00:00
sample-00232,Machine Learning,2026-03-19 03:00:00
sample-00232,Python,2026-03-18 09:00:00
sample-00232,dbt,2026-03-18 22:00:00
sample-00233,PyTorch,2026-06-14 20:00:00
sample-00233,Python,2026-06-14 05:00:00
sample-00233,Machine Learning,2026-06-15 14:00:00
sample-00233,NLP,2026-06-15 04:00:00
sample-00233,AWS,2026-06-14 21:00:00
sample-00234,SQL,2026-05-13 15:00:00
sample-00234,PyTorch,2026-05-13 11:00:00
sample-00234,Airflow,2026-05-13 19:00:00
sample-00234,Python,2026-05-13 03:00:00
sample-00235,Docker,2026-06-09 04:00:00
sample-00236,Spark,2026-06-02 21:00:00
sample-00237,AWS,2026-05-07 08:00:00
sample-00237,Python,2026-05-07 13:00:00
sample-00237,NLP,2026-05-06 23:00:00
sample-00238,Machine Learning,2026-04-22 17:00:00
sample-00238,Airflow,2026-04-21 02:00:00
sample-00239,Airflow,2026-05-29 15:00:00
sample-00241,Docker,2026-05-24 21:00:00
sample-00241,Python,2026-05-24 08:00:00
sample-00241,AWS,2026-05-25 05:00:00
sample-00241,Git,2026-05-24 02:00:00
sample-00241,Airflow,2026-05-24 11:00:00
sample-00242,Kubernetes,2026-03-28 06:00:00
sample-00242,dbt,2026-03-28 06:00:00
sample-00243,SQL,2026-06-02 08:00:00
sample-00243,PyTorch,2026-06-01 09:00:00
sample-00243,Machine Learning,2026-06-01 08:00:00
sample-00244,Machine Learning,2026-05-30 04:00:00
sample-00246,Spark,2026-06-15 05:00:00
sample-00246,TensorFlow,2026-06-14 10:00:00
sample-00246,LangChain,2026-06-15 08:00:00
sample-00246,Docker,2026-06-15 22:00:00
sample-00246,SQL,2026-06-14 09:00:00
sample-00247,Docker,2026-05-05 08:00:00
sample-00247,Spark,2026-05-05 03:00:00
sample-00247,PyTorch,2026-05-04 03:00:00
sample-00247,Python,2026-05-04 17:00:00
sample-00247,Machine Learning,2026-05-04 21:00:00
sample-00249,NLP,2026-03-20 21:00:00
sample-00249,AWS,2026-03-21 23:00:00
sample-00249,Docker,2026-03-20 07:00:00
sample-00249,Python,2026-03-21 07:00:00
sample-00249,PyTorch,2026-03-20 08:00:00
sample-00250,Machine Learning,2026-04-06 10:00:00
sample-00250,TensorFlow,2026-04-07 17:00:00
sample-00250,Kubernetes,2026-04-07 16:00:00
sample-00251,SQL,2026-05-14 15:00:00
sample-00251,Python,2026-05-14 13:00:00
sample-00251,TensorFlow,2026-05-14 18:00:00
sample-00254,AWS,2026-06-03 21:00:00
sample-00254,Python,2026-06-02 05:00:00
sample-00254,Machine Learning,2026-06-02 22:00:00
sample-00255,Kubernetes,2026-04-02 16:00:00
sample-00255,Docker,2026-04-03 09:00:00
sample-00255,Airflow,2026-04-03 11:00:00
sample-00255,LangChain,2026-04-02 17:00:00
sample-00256,Python,2026-06-05 00:00:00
sample-00256,dbt,2026-06-05 05:00:00
sample-00256,LangChain,2026-06-05 23:00:00
sample-00257,Python,2026-03-28 05:00:00
sample-00257,Airflow,2026-03-29 21:00:00
sample-00257,Kubernetes,2026-03-29 12:00:00
sample-00259,Airflow,2026-05-24 18:00:00
sample-00259,SQL,2026-05-25 15:00:00
sample-00260,Docker,2026-06-18 20:00:00
sample-00260,MLOps,2026-06-18 23:00:00
sample-00260,Python,2026-06-19 06:00:00
sample-00261,Spark,2026-04-05 11:00:00
sample-00261,LangChain,2026-04-05 17:00:00
sample-00261,SQL,2026-04-05 11:00:00
sample-00261,Python,2026-04-05 06:00:00
sample-00261,Machine Learning,2026-04-06 23:00:00
sample-00263,PyTorch,2026-07-05 08:00:00
sample-00263,Python,2026-07-04 15:00:00
sample-00263,AWS,2026-07-05 08:00:00
sample-00266,AWS,2026-05-09 21:00:00
sample-00267,TensorFlow,2026-04-27 08:00:00
sample-00267,dbt,2026-04-27 05:00:00
sample-00267,Git,2026-04-26 12:00:00
sample-00268,AWS,2026-05-28 23:00:00
sample-00268,SQL,2026-05-27 21:00:00
sample-00269,Spark,2026-05-25 19:00:00
sample-00269,Machine Learning,2026-05-25 12:00:00
sample-00269,Kubernetes,2026-05-25 16:00:00
sample-00270,Docker,2026-04-21 11:00:00
sample-00270,dbt,2026-04-21 11:00:00
sample-00270,AWS,2026-04-21 15:00:00
sample-00271,Machine Learning,2026-03-19 05:00:00
sample-00273,TensorFlow,2026-07-08 03:00:00
sample-00273,Spark,2026-07-08 12:00:00
sample-00273,SQL,2026-07-09 07:00:00
sample-00275,NLP,2026-05-13 04:00:00
